free_spaces_number;updated_at;parking_id;HORA;FECHA
16;2021-11-03 19:45:10.847000;Casino de la Reina;19:45:10;2021-11-03
318;2021-11-03 19:45:11.600000;Descalzas;19:45:11;2021-11-03
33;2021-11-03 19:49:06.320000;Orense;19:49:06;2021-11-03
346;2021-11-03 19:49:00.780000;Marqués de Salamanca;19:49:00;2021-11-03
86;2021-11-03 19:48:54.573000;Fuencarral;19:48:54;2021-11-03
179;2021-11-03 19:45:13.540000;Plaza de Oriente;19:45:13;2021-11-03
53;2021-11-03 19:45:14.447000;Sánchez Bustillo;19:45:14;2021-11-03
63;2021-11-03 19:48:59.560000;Montalbán;19:48:59;2021-11-03
196;2021-11-03 19:48:53.150000;Olavide;19:48:53;2021-11-03
320;2021-11-03 19:49:07.603000;Plaza de España;19:49:07;2021-11-03
90;2021-11-03 19:45:17.097000;Plaza del Rey;19:45:17;2021-11-03
238;2021-11-03 19:49:04.970000;Plaza Mayor;19:49:04;2021-11-03
59;2021-11-03 19:48:50.337000;Villa de París;19:48:50;2021-11-03
1;2021-11-03 19:48:48.977000;Pedro Zerolo;19:48:48;2021-11-03
7;2021-11-03 19:45:20.037000;BARCO 1;19:45:20;2021-11-03
6;2021-11-03 19:45:20.600000;GRAVINA 21;19:45:20;2021-11-03
13;2021-11-03 19:45:21.380000;El Corte Inglés Callao;19:45:21;2021-11-03
89;2021-11-03 19:45:21.927000;El Corte Inglés Preciados;19:45:21;2021-11-03
53;2021-11-03 19:45:22.397000;MERCADO SAN ANTON;19:45:22;2021-11-03
28;2021-11-03 19:45:23.007000;GARAJE PIAMONTE;19:45:23;2021-11-03
11;2021-11-03 19:45:23.613000;PARKING VOT;19:45:23;2021-11-03
49;2021-11-03 19:49:32.093000;Mercado de la Cebada;19:49:32;2021-11-03
519;2021-11-04 18:29:12.573000;Nuestra Señora del Recuerdo;18:29:12;2021-11-04
251;2021-11-04 18:28:29.987000;Avenida de Portugal;18:28:29;2021-11-04
164;2021-11-04 18:29:04.203000;Almagro;18:29:04;2021-11-04
242;2021-11-04 18:25:13.973000;Luna-Tudescos;18:25:13;2021-11-04
84;2021-11-04 18:29:00.983000;Jacinto Benavente;18:29:00;2021-11-04
31;2021-11-04 18:25:17.277000;Arquitecto Ribera (Barceló);18:25:17;2021-11-04
33;2021-11-04 18:25:18.653000;Casino de la Reina;18:25:18;2021-11-04
287;2021-11-04 18:25:20.637000;Descalzas;18:25:20;2021-11-04
78;2021-11-04 18:28:27.577000;Orense;18:28:27;2021-11-04
258;2021-11-04 18:29:11.517000;Marqués de Salamanca;18:29:11;2021-11-04
48;2021-11-04 18:29:06.297000;Fuencarral;18:29:06;2021-11-04
116;2021-11-04 18:25:22.757000;Plaza de Oriente;18:25:22;2021-11-04
20;2021-11-04 18:25:23.960000;Sánchez Bustillo;18:25:23;2021-11-04
15;2021-11-04 18:29:10.453000;Montalbán;18:29:10;2021-11-04
198;2021-11-04 18:29:05.233000;Olavide;18:29:05;2021-11-04
342;2021-11-04 18:28:28.457000;Plaza de España;18:28:28;2021-11-04
37;2021-11-04 18:25:26.407000;Plaza del Rey;18:25:26;2021-11-04
234;2021-11-04 18:28:26.747000;Plaza Mayor;18:28:26;2021-11-04
20;2021-11-04 18:29:03.017000;Villa de París;18:29:03;2021-11-04
1;2021-11-04 18:29:01.937000;Pedro Zerolo;18:29:01;2021-11-04
4;2021-11-04 18:25:28.613000;BARCO 1;18:25:28;2021-11-04
2;2021-11-04 18:25:28.957000;GRAVINA 21;18:25:28;2021-11-04
13;2021-11-04 18:25:29.457000;El Corte Inglés Callao;18:25:29;2021-11-04
44;2021-11-04 18:25:29.910000;MERCADO SAN ANTON;18:25:29;2021-11-04
28;2021-11-04 18:25:30.300000;GARAJE PIAMONTE;18:25:30;2021-11-04
17;2021-11-04 18:25:30.737000;PARKING VOT;18:25:30;2021-11-04
75;2021-11-04 18:28:17.953000;Mercado de la Cebada;18:28:17;2021-11-04
520;2021-11-04 18:30:50.847000;Nuestra Señora del Recuerdo;18:30:50;2021-11-04
252;2021-11-04 18:30:57.457000;Avenida de Portugal;18:30:57;2021-11-04
165;2021-11-04 18:30:41.427000;Almagro;18:30:41;2021-11-04
242;2021-11-04 18:30:13.293000;Luna-Tudescos;18:30:13;2021-11-04
84;2021-11-04 18:30:37.960000;Jacinto Benavente;18:30:37;2021-11-04
31;2021-11-04 18:30:15.397000;Arquitecto Ribera (Barceló);18:30:15;2021-11-04
31;2021-11-04 18:30:16.457000;Casino de la Reina;18:30:16;2021-11-04
287;2021-11-04 18:30:17.960000;Descalzas;18:30:17;2021-11-04
79;2021-11-04 18:30:54.260000;Orense;18:30:54;2021-11-04
262;2021-11-04 18:30:49.723000;Marqués de Salamanca;18:30:49;2021-11-04
47;2021-11-04 18:30:43.980000;Fuencarral;18:30:43;2021-11-04
113;2021-11-04 18:30:19.710000;Plaza de Oriente;18:30:19;2021-11-04
20;2021-11-04 18:30:20.680000;Sánchez Bustillo;18:30:20;2021-11-04
122;2021-11-04 18:30:56.377000;Montalbán;18:30:56;2021-11-04
197;2021-11-04 18:30:42.630000;Olavide;18:30:42;2021-11-04
339;2021-11-04 18:30:55.440000;Plaza de España;18:30:55;2021-11-04
37;2021-11-04 18:30:23.220000;Plaza del Rey;18:30:23;2021-11-04
238;2021-11-04 18:30:53.057000;Plaza Mayor;18:30:53;2021-11-04
20;2021-11-04 18:30:40.333000;Villa de París;18:30:40;2021-11-04
