free_spaces_number;updated_at;parking_id;fecha;hora
16;2021-11-03 19:45:10.847000;Casino de la Reina;2021-11-03;19:45:10
318;2021-11-03 19:45:11.600000;Descalzas;2021-11-03;19:45:11
33;2021-11-03 19:49:06.320000;Orense;2021-11-03;19:49:06
346;2021-11-03 19:49:00.780000;Marqués de Salamanca;2021-11-03;19:49:00
86;2021-11-03 19:48:54.573000;Fuencarral;2021-11-03;19:48:54
179;2021-11-03 19:45:13.540000;Plaza de Oriente;2021-11-03;19:45:13
53;2021-11-03 19:45:14.447000;Sánchez Bustillo;2021-11-03;19:45:14
63;2021-11-03 19:48:59.560000;Montalbán;2021-11-03;19:48:59
196;2021-11-03 19:48:53.150000;Olavide;2021-11-03;19:48:53
320;2021-11-03 19:49:07.603000;Plaza de España;2021-11-03;19:49:07
90;2021-11-03 19:45:17.097000;Plaza del Rey;2021-11-03;19:45:17
238;2021-11-03 19:49:04.970000;Plaza Mayor;2021-11-03;19:49:04
59;2021-11-03 19:48:50.337000;Villa de París;2021-11-03;19:48:50
1;2021-11-03 19:48:48.977000;Pedro Zerolo;2021-11-03;19:48:48
7;2021-11-03 19:45:20.037000;BARCO 1;2021-11-03;19:45:20
6;2021-11-03 19:45:20.600000;GRAVINA 21;2021-11-03;19:45:20
13;2021-11-03 19:45:21.380000;El Corte Inglés Callao;2021-11-03;19:45:21
89;2021-11-03 19:45:21.927000;El Corte Inglés Preciados;2021-11-03;19:45:21
53;2021-11-03 19:45:22.397000;MERCADO SAN ANTON;2021-11-03;19:45:22
28;2021-11-03 19:45:23.007000;GARAJE PIAMONTE;2021-11-03;19:45:23
11;2021-11-03 19:45:23.613000;PARKING VOT;2021-11-03;19:45:23
49;2021-11-03 19:49:32.093000;Mercado de la Cebada;2021-11-03;19:49:32
519;2021-11-04 18:29:12.573000;Nuestra Señora del Recuerdo;2021-11-04;18:29:12
251;2021-11-04 18:28:29.987000;Avenida de Portugal;2021-11-04;18:28:29
164;2021-11-04 18:29:04.203000;Almagro;2021-11-04;18:29:04
242;2021-11-04 18:25:13.973000;Luna-Tudescos;2021-11-04;18:25:13
84;2021-11-04 18:29:00.983000;Jacinto Benavente;2021-11-04;18:29:00
31;2021-11-04 18:25:17.277000;Arquitecto Ribera (Barceló);2021-11-04;18:25:17
33;2021-11-04 18:25:18.653000;Casino de la Reina;2021-11-04;18:25:18
287;2021-11-04 18:25:20.637000;Descalzas;2021-11-04;18:25:20
78;2021-11-04 18:28:27.577000;Orense;2021-11-04;18:28:27
258;2021-11-04 18:29:11.517000;Marqués de Salamanca;2021-11-04;18:29:11
